Group,Importance,Feature Count
Repository Background,11980.936032295227,9
Issue Content,11596.67407155037,10
General OSS Experience,5417.397142410278,6
Sentiment,2111.6971769332886,4
Activeness,1869.0311002731323,9
Issue Labels,1444.2564170360565,13
